project_slug,floor_slug,points,labelX,labelY
city-garden-lamela-5,sprat-1,"27.63,73.41 77.65,83.66 80.69,73.04 80.71,67.91 77.66,73.97 27.64,66.39",62.00,73.06
city-garden-lamela-5,sprat-2,"27.64,66.39 77.66,73.97 80.71,67.91 80.74,60.16 77.67,63.71 27.64,59.47",62.01,65.27
city-garden-lamela-5,sprat-3,"27.64,59.47 77.67,63.71 80.74,60.16 80.77,52.77 77.68,53.14 27.64,52.30",62.02,56.93
city-garden-lamela-5,sprat-4,"27.64,52.30 77.68,53.14 80.77,52.77 80.80,45.75 77.70,42.98 27.65,45.48",62.04,48.74
city-garden-lamela-5,sprat-5,"27.65,45.48 77.70,42.98 80.80,45.75 80.82,39.01 77.71,32.55 27.65,38.36",62.05,40.69
city-garden-lamela-5,sprat-6,"27.65,38.36 77.71,32.55 80.82,39.01 80.85,31.95 77.72,21.79 27.66,31.58",62.07,32.54
city-garden-lamela-4,prizemlje,"42.61,71.79 53.12,78.60 75.90,72.59 76.01,67.11 53.26,72.33 42.49,66.22",57.23,71.44
city-garden-lamela-4,sprat-1,"42.49,66.22 53.26,72.33 76.01,67.11 76.11,62.20 53.40,65.96 42.38,61.27",57.27,65.85
city-garden-lamela-4,sprat-2,"42.38,61.27 53.40,65.96 76.11,62.20 76.22,57.20 53.53,60.00 42.30,57.16",57.32,60.63
city-garden-lamela-4,sprat-3,"42.30,57.16 53.53,60.00 76.22,57.20 76.32,52.43 53.66,53.98 42.21,53.19",57.37,55.66
city-garden-lamela-4,sprat-4,"42.21,53.19 53.66,53.98 76.32,52.43 76.42,47.75 53.79,48.28 42.10,48.05",57.42,50.61
city-garden-lamela-4,sprat-5,"42.10,48.05 53.79,48.28 76.42,47.75 76.51,43.28 53.92,42.30 41.98,42.80",57.45,45.41
city-garden-lamela-4,sprat-6,"41.98,42.80 53.92,42.30 76.51,43.28 76.61,38.41 54.05,36.34 41.88,37.84",57.49,40.16
city-garden-lamela-4,sprat-7,"41.88,37.84 54.05,36.34 76.61,38.41 76.72,33.51 54.19,30.15 41.78,33.51",57.54,34.96
