project_slug,floor_slug,apartment_slug,code,points,labelX,labelY
city-garden-lamela-4,prizemlje,l4-stan-01,S01,"6.22,22.80 5.98,54.19 13.41,56.13 13.41,49.89 14.05,47.96 20.36,47.74 20.36,30.32 17.37,29.89 16.80,21.94",12.45,37.90
city-garden-lamela-4,prizemlje,l4-stan-02,S02,"34.41,21.94 34.49,38.92 37.80,39.35 38.29,47.53 49.43,47.74 49.35,22.80",42.42,34.15
city-garden-lamela-4,prizemlje,l4-stan-03,S03,"49.43,49.03 42.49,49.03 42.49,55.05 41.44,57.20 33.68,57.20 33.68,83.01 49.35,82.37",42.07,67.91
city-garden-lamela-4,prizemlje,l4-stan-04,S04,"17.53,57.20 17.53,83.01 44.35,83.01 34.17,82.37 33.12,77.20 33.68,57.20",25.63,70.02
city-garden-lamela-4,prizemlje,l4-stan-05,S05,"5.90,54.41 6.30,82.37 23.10,83.01 17.61,81.51 16.88,77.20 17.45,74.19 17.45,57.20 11.63,57.20 10.50,54.41",11.60,69.35
city-garden-lamela-4,sprat-1,l4-stan-06,S06,"5.98,12.90 5.98,53.33 9.94,53.33 10.99,56.13 13.09,56.13 13.57,48.17 16.80,47.74 17.45,45.59 16.96,43.23 17.45,29.89 16.88,28.17 17.45,12.90",11.50,32.61
city-garden-lamela-4,sprat-1,l4-stan-07,S07,"16.96,12.90 16.96,21.08 17.61,23.01 17.61,28.17 16.96,30.11 16.96,45.59 17.69,47.96 28.68,47.96 28.68,12.90",22.92,30.55
city-garden-lamela-4,sprat-1,l4-stan-08,S08,"34.41,12.90 34.49,38.92 37.80,39.35 38.53,44.73 38.13,47.74 49.52,47.74 49.60,12.90",42.39,29.57
city-garden-lamela-4,sprat-1,l4-stan-09,S09,"42.49,49.03 42.00,56.77 38.93,57.20 38.93,92.04 49.60,92.26 49.52,49.03",44.47,71.66
city-garden-lamela-4,sprat-1,l4-stan-10,S10,"28.51,57.20 28.51,92.26 35.30,91.18 39.26,92.26 39.26,57.20",33.91,74.55
city-garden-lamela-4,sprat-1,l4-stan-11,S11,"17.45,57.20 17.45,92.26 19.31,91.18 28.27,92.26 28.27,57.20",22.89,74.58
city-garden-lamela-4,sprat-1,l4-stan-12,S12,"5.65,54.41 5.65,74.19 6.30,76.13 5.65,92.26 17.37,92.26 16.88,82.15 17.37,57.20 11.63,57.20 10.50,54.41",11.39,73.86
city-garden-lamela-4,sprat-2,l4-stan-13,S13,"5.98,12.90 5.98,53.33 9.94,53.33 10.99,56.13 13.09,56.13 13.57,48.17 16.80,47.74 17.45,45.59 16.96,43.23 17.45,29.89 16.88,28.17 17.45,12.90",11.50,32.61
city-garden-lamela-4,sprat-2,l4-stan-14,S14,"16.96,12.90 16.96,21.08 17.61,23.01 17.61,28.17 16.96,30.11 16.96,45.59 17.69,47.96 28.68,47.96 28.68,12.90",22.92,30.55
city-garden-lamela-4,sprat-2,l4-stan-15,S15,"34.41,12.90 34.49,38.92 37.80,39.35 38.53,44.73 38.13,47.74 49.52,47.74 49.60,12.90",42.39,29.57
city-garden-lamela-4,sprat-2,l4-stan-16,S16,"42.49,49.03 42.00,56.77 38.93,57.20 38.93,92.04 49.60,92.26 49.52,49.03",44.47,71.66
city-garden-lamela-4,sprat-2,l4-stan-17,S17,"28.51,57.20 28.51,92.26 35.30,91.18 39.26,92.26 39.26,57.20",33.91,74.55
city-garden-lamela-4,sprat-2,l4-stan-18,S18,"17.45,57.20 17.45,92.26 19.31,91.18 28.27,92.26 28.27,57.20",22.89,74.58
